tick_idx,climate_pass_stage,climate_pass_path,climate_pass_status
871,pass_a,data_core,done
872,pass_b,data_core,done
873,ocean_water,native_chunk,running
874,ocean_water,native_chunk,running
875,ocean_water,native_chunk,done
876,ocean_land,native_chunk,running
877,ocean_land,native_chunk,running
878,ocean_land,native_chunk,done
879,wind_air,gdext,done
880,wind_surface,gdext,done
881,transp,gdext,done
882,pass_a,data_core,done
883,pass_b,data_core,done
884,ocean_water,native_chunk,running
885,ocean_water,native_chunk,running
886,ocean_water,native_chunk,done
887,ocean_land,native_chunk,running
888,ocean_land,native_chunk,running
889,ocean_land,native_chunk,done
890,wind_air,gdext,done
891,wind_surface,gdext,done
892,transp,gdext,done
893,pass_a,data_core,done
894,pass_b,data_core,done
895,ocean_water,native_chunk,running
896,ocean_water,native_chunk,running
897,ocean_water,native_chunk,done
898,ocean_land,native_chunk,running
899,ocean_land,native_chunk,running
900,ocean_land,native_chunk,done
901,wind_air,gdext,done
902,wind_surface,gdext,done
903,transp,gdext,done
904,pass_a,data_core,done
905,pass_b,data_core,done
906,ocean_water,native_chunk,running
907,ocean_water,native_chunk,running
908,ocean_water,native_chunk,done
909,ocean_land,native_chunk,running
910,ocean_land,native_chunk,running
911,ocean_land,native_chunk,done
912,wind_air,gdext,done
913,wind_surface,gdext,done
914,transp,gdext,done
915,pass_a,data_core,done
916,pass_b,data_core,done
917,ocean_water,native_chunk,running
918,ocean_water,native_chunk,running
919,ocean_water,native_chunk,done
920,ocean_land,native_chunk,running
921,ocean_land,native_chunk,running
922,ocean_land,native_chunk,done
923,wind_air,gdext,done
924,wind_surface,gdext,done
925,transp,gdext,done
926,pass_a,data_core,done
927,pass_b,data_core,done
928,ocean_water,native_chunk,running
929,ocean_water,native_chunk,running
930,ocean_water,native_chunk,done
931,ocean_land,native_chunk,running
932,ocean_land,native_chunk,running
933,ocean_land,native_chunk,done
934,wind_air,gdext,done
935,wind_surface,gdext,done
936,transp,gdext,done
937,pass_a,data_core,done
938,pass_b,data_core,done
939,ocean_water,native_chunk,running
940,ocean_water,native_chunk,running
941,ocean_water,native_chunk,done
942,ocean_land,native_chunk,running
943,ocean_land,native_chunk,running
944,ocean_land,native_chunk,done
945,wind_air,gdext,done
946,wind_surface,gdext,done
947,transp,gdext,done
948,pass_a,data_core,done
949,pass_b,data_core,done
950,ocean_water,native_chunk,running
951,ocean_water,native_chunk,running
952,ocean_water,native_chunk,done
953,ocean_land,native_chunk,running
954,ocean_land,native_chunk,running
955,ocean_land,native_chunk,done
956,wind_air,gdext,done
957,wind_surface,gdext,done
958,transp,gdext,done
959,pass_a,data_core,done
960,pass_b,data_core,done
961,ocean_water,native_chunk,running
962,ocean_water,native_chunk,running
963,ocean_water,native_chunk,done
964,ocean_land,native_chunk,running
965,ocean_land,native_chunk,running
966,ocean_land,native_chunk,done
967,wind_air,gdext,done
968,wind_surface,gdext,done
969,transp,gdext,done
970,pass_a,data_core,done
971,pass_b,data_core,done
972,ocean_water,native_chunk,running
973,ocean_water,native_chunk,running
974,ocean_water,native_chunk,done
975,ocean_land,native_chunk,running
976,ocean_land,native_chunk,running
977,ocean_land,native_chunk,done
978,wind_air,gdext,done
979,wind_surface,gdext,done
980,transp,gdext,done
981,pass_a,data_core,done
982,pass_b,data_core,done
983,ocean_water,native_chunk,running
984,ocean_water,native_chunk,running
985,ocean_water,native_chunk,done
986,ocean_land,native_chunk,running
987,ocean_land,native_chunk,running
988,ocean_land,native_chunk,done
989,wind_air,gdext,done
990,wind_surface,gdext,done
991,transp,gdext,done
992,pass_a,data_core,done
993,pass_b,data_core,done
994,ocean_water,native_chunk,running
995,ocean_water,native_chunk,running
996,ocean_water,native_chunk,done
997,ocean_land,native_chunk,running
998,ocean_land,native_chunk,running
