=== cell 100 lat=0.025641 (samples=116) ===
tick,temp,t30,t365,seas_off,sea_ice,baseline,baseline_year
3357,0,0.146745,0.099466,-0.258858,1,0.02705,0.048611
3359,0.50705,0.158755,0.100583,0.48,1,0.02705,0.048611
3361,0.50705,0.158755,0.100583,0.48,0,0.02705,0.048611
3363,0.50705,0.158755,0.100583,0.48,0,0.02705,0.048611
3365,0.482592,0.158755,0.100583,0.48,0,0.02705,0.048611
3367,0.456805,0.158755,0.100583,0.48,0,0.02705,0.048611
3369,0.32046,0.165003,0.101256,0.319141,0,0.02705,0.048611
=== cell 500 lat=0.205128 (samples=116) ===
tick,temp,t30,t365,seas_off,sea_ice,baseline,baseline_year
3255,0.136175,0.330691,0.254634,-0.208856,1,0.345179,0.542533
3257,0.136175,0.330691,0.254634,-0.208856,1,0.345179,0.542533
3259,0.136175,0.330691,0.254634,-0.208856,1,0.345179,0.542533
3261,0.319905,0.330331,0.254812,-0.025274,1,0.345179,0.542533
3263,0.319758,0.330331,0.254812,-0.025274,1,0.345179,0.542533
3265,0.319758,0.330331,0.254812,-0.025274,0,0.345179,0.542533
3267,0.319758,0.330331,0.254812,-0.025274,0,0.345179,0.542533
3269,0.554905,0.337817,0.255635,0.209726,0,0.345179,0.542533
3271,0.554758,0.337817,0.255635,0.209726,0,0.345179,0.542533
3273,0.554758,0.337817,0.255635,0.209726,0,0.345179,0.542533
3275,0.554758,0.337817,0.255635,0.209726,0,0.345179,0.542533
3277,0.554758,0.337817,0.255635,0.209726,0,0.345179,0.542533
3279,0.53891,0.34452,0.256411,0.193731,0,0.345179,0.542533
3281,0.538763,0.34452,0.256411,0.193731,0,0.345179,0.542533
3283,0.538763,0.34452,0.256411,0.193731,0,0.345179,0.542533
3285,0.538763,0.34452,0.256411,0.193731,0,0.345179,0.542533
3287,0.207388,0.339949,0.256276,-0.137791,0,0.345179,0.542533
3289,0.207241,0.339949,0.256276,-0.137791,0,0.345179,0.542533
3291,0.207241,0.339949,0.256276,-0.137791,0,0.345179,0.542533
3293,0.207241,0.339949,0.256276,-0.137791,0,0.345179,0.542533
3295,0.207241,0.339949,0.256276,-0.137791,0,0.345179,0.542533
3297,0.109572,0.33227,0.255874,-0.235607,0,0.345179,0.542533
3299,0.109425,0.33227,0.255874,-0.235607,0,0.345179,0.542533
3301,0.109425,0.33227,0.255874,-0.235607,1,0.345179,0.542533
3303,0.109425,0.33227,0.255874,-0.235607,1,0.345179,0.542533
